user_id,user_name,subscription_type,monthly_revenue,join_date,last_payment,country,age,gender,device,plan_duration
1,Kevin Carr,Basic,10.0,15-01-22,10-06-23,United States,28.0,Male,Smartphone,1 Month
2,Joshua Tyler,Premium,15.0,05-09-21,22-06-23,Canada,35.0,Female,Tablet,1 Month
3,John Monaghan,Standard,12.0,28-02-23,27-06-23,United Kingdom,42.0,Male,Smart TV,1 Month
4,Christy Lemire,Standard,12.0,10-07-22,26-06-23,Australia,51.0,Female,Laptop,1 Month
5,Frank Scheck,Basic,10.0,01-05-23,28-06-23,Germany,33.0,Male,Smartphone,1 Month
6,Jack Mathews,Premium,15.0,18-03-22,27-06-23,France,29.0,Female,Smart TV,1 Month
7,MaryAnn Johanson,Standard,12.0,09-12-21,25-06-23,Brazil,46.0,Male,Tablet,1 Month
8,Maitland McDonagh,Basic,10.0,02-04-23,24-06-23,Mexico,39.0,Female,Laptop,1 Month
9,Robert Koehler,Standard,12.0,20-10-22,23-06-23,Spain,37.0,Male,Smartphone,1 Month
10,Christopher Smith,Premium,15.0,07-01-23,22-06-23,Italy,44.0,Female,Smart TV,1 Month
11,Nick Schager,Basic,10.0,16-05-22,22-06-23,United States,31.0,Female,Smartphone,1 Month
12,Mike McGranaghan,Premium,15.0,23-03-23,28-06-23,Canada,45.0,Male,Tablet,1 Month
13,Frank Swietek,Standard,12.0,30-11-21,27-06-23,United Kingdom,48.0,Female,Laptop,1 Month
14,Edward Douglas,Basic,10.0,01-08-22,26-06-23,Australia,27.0,Male,Smartphone,1 Month
15,James Sanford,Standard,12.0,09-05-23,28-06-23,Germany,38.0,Female,Smart TV,1 Month
16,Staci Layne Wilson,Premium,15.0,07-04-22,27-06-23,France,36.0,Male,Tablet,1 Month
17,Dan Fienberg,Basic,10.0,24-01-22,25-06-23,Brazil,30.0,Female,Laptop,1 Month
18,Brian Orndorf,Standard,12.0,18-10-21,24-06-23,Mexico,43.0,Male,Smartphone,1 Month
19,Dave White,Premium,15.0,15-02-23,23-06-23,Spain,32.0,Female,Smart TV,1 Month
20,Sara Michelle Fetters,Basic,10.0,27-05-23,22-06-23,Italy,41.0,Male,Tablet,1 Month
21,Eric D. Snider,Premium,15.0,10-06-23,22-06-23,United States,26.0,Female,Laptop,1 Month
22,Jeremy C. Fox,Basic,10.0,22-07-22,28-06-23,Canada,34.0,Male,Smartphone,1 Month
23,Kevin N. Laforest,Standard,12.0,05-12-21,27-06-23,United Kingdom,49.0,Female,Smart TV,1 Month
24,Keith Breese,Standard,12.0,03-04-22,26-06-23,Australia,31.0,Male,Tablet,1 Month
